"filename", "language", "JavaScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\bgChangerListMaker.js", "JavaScript", 16, 0, 0, 14, 3, 33
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\bgColor.js", "JavaScript", 12, 0, 0, 7, 1, 20
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\changeMany.js", "JavaScript", 5, 0, 0, 1, 0, 6
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\dom.html", "HTML", 0, 51, 0, 6, 7, 64
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\elClasses.js", "JavaScript", 10, 0, 0, 1, 0, 11
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\elManipulation.js", "JavaScript", 18, 0, 0, 4, 2, 24
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\evtBubCap.js", "JavaScript", 20, 0, 0, 0, 3, 23
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\iDidit.js", "JavaScript", 9, 0, 0, 0, 1, 10
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\img\DOM-model.svg", "XML", 0, 0, 673, 1, 2, 676
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\keyDownEvent.js", "JavaScript", 30, 0, 0, 2, 6, 38
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\keyDownEvent2.js", "JavaScript", 7, 0, 0, 0, 0, 7
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\listItems.js", "JavaScript", 34, 0, 0, 32, 8, 74
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\mouseEvents.js", "JavaScript", 9, 0, 0, 0, 0, 9
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\mouseenter.js", "JavaScript", 38, 0, 0, 0, 5, 43
"c:\Users\Max\Desktop\Github\emuallim.github.io\projects\028.jsProjects\000.fiftyProjects\03.DOM\popup.js", "JavaScript", 7, 0, 0, 5, 0, 12
"Total", "-", 215, 51, 673, 73, 38, 1050